,STATE,ZIP Code,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,Brewery,Address,City,State
29699,VA,22611,4350.0,4350.0,352506.0,3540.0,242879.0,,,,
29700,VA,22620,1090.0,1090.0,96949.0,880.0,62575.0,,,,
29701,VA,22623,290.0,290.0,13849.0,270.0,11528.0,,,,
29702,VA,22624,1300.0,1300.0,89810.0,1120.0,66256.0,,,,
29703,VA,22625,1760.0,1760.0,121243.0,1470.0,89099.0,,,,
29704,VA,22627,420.0,420.0,35649.0,280.0,16887.0,,,,
29705,VA,22630,15090.0,15090.0,890538.0,12840.0,659845.0,"front royal brewing company, llc",122 e main st,Front Royal,VA
29706,VA,22637,1080.0,1080.0,61094.0,910.0,46456.0,,,,
29707,VA,22639,320.0,320.0,43855.0,230.0,20735.0,,,,
29708,VA,22640,150.0,150.0,14594.0,110.0,8500.0,,,,
29709,VA,22641,130.0,130.0,7109.0,100.0,5740.0,,,,
29710,VA,22642,2260.0,2260.0,155551.0,1980.0,125169.0,,,,
