GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,"Sales ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of sales from administrative records (%),Percent of sales estimated (%)
0400000US08,8,Colorado,,721110,Hotels (except casino hotels) and motels,,2012,1151,3258977,889646,227425,39490,3.7,10.7
0400000US08,8,Colorado,,72112,Casino hotels,,2012,12,560465,135132,32001,4310,0.2,7.2
0400000US08,8,Colorado,,721120,Casino hotels,,2012,12,560465,135132,32001,4310,0.2,7.2
0400000US08,8,Colorado,,72119,Other traveler accommodation,,2012,149,50643,11546,2374,565,16.3,2.4
0400000US08,8,Colorado,,721191,Bed-and-breakfast inns,,2012,78,19459,4371,964,288,14.3,4
0400000US08,8,Colorado,,721199,All other traveler accommodation,,2012,71,31184,7175,1410,277,17.6,1.4
0400000US08,8,Colorado,,7212,RV (recreational vehicle) parks and recreational camps,,2012,204,148033,37643,6413,1172,25.8,3.7
0400000US08,8,Colorado,,72121,RV (recreational vehicle) parks and recreational camps,,2012,204,148033,37643,6413,1172,25.8,3.7
0400000US08,8,Colorado,,721211,RV (recreational vehicle) parks and campgrounds,,2012,102,42524,7741,1080,286,30.2,4.4
0400000US08,8,Colorado,,721214,Recreational and vacation camps (except campgrounds),,2012,102,105509,29902,5333,886,24,3.5
0400000US08,8,Colorado,,7213,Rooming and boarding houses,,2012,40,16732,3003,794,198,15.5,9
0400000US08,8,Colorado,,72131,Rooming and boarding houses,,2012,40,16732,3003,794,198,15.5,9
0400000US08,8,Colorado,,721310,Rooming and boarding houses,,2012,40,16732,3003,794,198,15.5,9
0400000US08,8,Colorado,,722,Food services and drinking places,,2012,11188,9582804,2917635,710613,194749,21,8.9
0400000US08,8,Colorado,,7223,Special food services,,2012,684,650943,179893,41156,9155,6.1,3.2
0400000US08,8,Colorado,,72231,Food service contractors,,2012,406,523590,136370,32152,6726,1.6,1.6
0400000US08,8,Colorado,,722310,Food service contractors,,2012,406,523590,136370,32152,6726,1.6,1.6
0400000US08,8,Colorado,,72232,Caterers,,2012,213,120010,41882,8698,2314,23.9,8.8
0400000US08,8,Colorado,,722320,Caterers,,2012,213,120010,41882,8698,2314,23.9,8.8
